symbol,value
–,0
‚,1
Ž,2
˜,3
‘,4
Ž,5
„,6
™,7
•,8
…,9
–,10
Ÿ,11
”,12
—,13
Ž,14
Ž,15
™,16
š,17
†,18
‚,19
Œ,20
˜,21
…,22
”,23
œ,24
•,25
’,26
–,27
•,28
ž,29
—,30
„,31
Š,32
“,33
–,34
Š,35
Ž,36
™,37
‹,38
‰,39
€,40
”,41
‡,42
‡,43
ˆ,44
ƒ,45
„,46
Ž,47
•,48
„,49
‘,50
›,51
Ÿ,52
ˆ,53
†,54
ˆ,55
„,56
“,57
š,58
•,59
š,60
›,61
‰,62
“,63
š,64
’,65
€,66
†,67
ƒ,68
ƒ,69
ƒ,70
Ž,71
‡,72
‹,73
ˆ,74
Š,75
”,76
€,77
‡,78
š,79
ƒ,80
„,81
†,82
œ,83
”,84
ƒ,85
Œ,86
›,87
…,88
š,89
Œ,90
…,91
†,92
‹,93
Ÿ,94
›,95
‡,96
ˆ,97
Ž,98
‡,99
’,100
‡,101
“,102
“,103
˜,104
‚,105
‡,106
”,107
Ÿ,108
“,109
”,110
€,111
†,112
“,113
œ,114
˜,115
Œ,116
˜,117
Œ,118
œ,119
š,120
‰,121
›,122
‡,123
š,124
—,125
–,126
Ž,127
‹,128
Ÿ,129
ž,130
ƒ,131
Ÿ,132
™,133
—,134
†,135
ˆ,136
…,137
ˆ,138
–,139
Ž,140
‚,141
ˆ,142
˜,143
Š,144
…,145
Ž,146
›,147
Š,148
ž,149
˜,150
‡,151
•,152
€,153
›,154
Œ,155
’,156
—,157
•,158
™,159
–,160
†,161
›,162
Ÿ,163
›,164
Œ,165
Œ,166
‡,167
’,168
‰,169
’,170
–,171
Š,172
—,173
ž,174
˜,175
š,176
˜,177
‡,178
—,179
„,180
Œ,181
ˆ,182
Š,183
ˆ,184
„,185
ƒ,186
œ,187
‹,188
Ž,189
—,190
‰,191
—,192
š,193
œ,194
ˆ,195
“,196
™,197
†,198
‹,199
œ,200
’,201
™,202
‚,203
‹,204
ƒ,205
ž,206
•,207
˜,208
–,209
ž,210
›,211
Ÿ,212
‘,213
‹,214
“,215
”,216
œ,217
ˆ,218
’,219
•,220
ƒ,221
—,222
Ÿ,223
“,224
’,225
•,226
˜,227
›,228
€,229
Š,230
’,231
†,232
…,233
Š,234
‡,235
’,236
–,237
“,238
„,239
•,240
›,241
™,242
Ÿ,243
„,244
–,245
ƒ,246
‡,247
Ž,248
Œ,249
ˆ,250
Œ,251
—,252
€,253
†,254
Ÿ,255
Ž,256
‹,257
ž,258
Ÿ,259
š,260
ˆ,261
˜,262
œ,263
™,264
–,265
’,266
‹,267
‡,268
†,269
‰,270
Š,271
•,272
‚,273
–,274
•,275
›,276
‡,277
™,278
Ž,279
‡,280
Œ,281
†,282
Œ,283
•,284
Š,285
•,286
Œ,287
Œ,288
ž,289
”,290
€,291
ˆ,292
•,293
Ž,294
œ,295
ž,296
‚,297
ž,298
†,299
‘,300
Ž,301
‘,302
Ÿ,303
™,304
—,305
Ÿ,306
Ÿ,307
“,308
œ,309
˜,310
œ,311
„,312
œ,313
‡,314
‘,315
Ÿ,316
‡,317
š,318
“,319
“,320
›,321
Ž,322
‘,323
Ÿ,324
š,325
œ,326
Œ,327
™,328
„,329
‡,330
•,331
“,332
“,333
†,334
Œ,335
ž,336
”,337
ƒ,338
‰,339
ž,340
‚,341
‡,342
–,343
ƒ,344
’,345
–,346
†,347
Ÿ,348
—,349
€,350
œ,351
’,352
—,353
’,354
Ÿ,355
š,356
–,357
’,358
ƒ,359
ˆ,360
š,361
Ÿ,362
“,363
Ÿ,364
•,365
“,366
–,367
–,368
‹,369
œ,370
˜,371
‰,372
œ,373
’,374
Œ,375
„,376
ƒ,377
„,378
–,379
‚,380
‡,381
‘,382
ˆ,383
‚,384
œ,385
™,386
ƒ,387
‰,388
”,389
Œ,390
’,391
•,392
˜,393
˜,394
…,395
ž,396
‹,397
‹,398
‚,399
ž,400
’,401
™,402
–,403
‘,404
Ž,405
‚,406
•,407
‘,408
‰,409
Š,410
Š,411
Ž,412
†,413
”,414
†,415
„,416
“,417
ƒ,418
’,419
‚,420
‚,421
‘,422
”,423
—,424
‰,425
Œ,426
™,427
€,428
Ž,429
†,430
„,431
–,432
Ž,433
™,434
Ÿ,435
˜,436
–,437
™,438
Œ,439
ˆ,440
Œ,441
‰,442
†,443
…,444
˜,445
š,446
‰,447
€,448
‚,449
ž,450
š,451
€,452
ˆ,453
‹,454
‹,455
š,456
ž,457
‰,458
ž,459
€,460
‘,461
‰,462
’,463
€,464
“,465
“,466
Œ,467
›,468
“,469
–,470
›,471
„,472
ž,473
Ÿ,474
•,475
€,476
–,477
“,478
ƒ,479
™,480
™,481
‰,482
Š,483
š,484
“,485
š,486
”,487
€,488
Ž,489
‘,490
†,491
ž,492
•,493
ƒ,494
€,495
”,496
€,497
‘,498
‡,499
